MMSI,Vessel Name,Vessel Type,Call Sign,IMO Number,Length,Breadth,Depth,Flag
503095790,MARINE RESCUE LT 30,SAR Vessel,LT30,,,,,Unknown
503100000,HMAS PERTH,Military,,,,,,Unknown
503176070,PV YANAGA,Pilot Vessel,,,,,,Unknown
503185260,PV WARNA,Pilot Vessel,,,,,,Unknown
503188430,TSS SHOALBUSTER,Tug,VNZ3721,,,,,Unknown
503194360,ENGAGE ADMIRAL,95,VNZ3801,,,,,Unknown
503345700,SIRIUS,Passenger,VJ2017,,,,,Unknown
503433000,SPIRIT OF TASMANIA 2,69,VNSZ,,,,,Unknown
503542000,TASMANIAN ACHIEVER2,,VMDG,,,,,Unknown
503581000,OCEAN DYNASTY 138,Tug,VKV7187,,,,,Unknown
503624000,SVITZER MAITLAND,Tug,VHDK,,,,,Unknown
503637000,SVITZER OLIVIA,Tug,851630,,,,,Unknown
503648000,SL TONDOON,Tug,VHIE,,,,,Unknown
503718000,ANTARCTIC DISCOVERY,Fishing,VKAD,,,,,Unknown
511100476,MARIN,Cargo,T8A3629,,,,,Unknown
511101793,BAS MUSTANG,Tug,T8A5282,,,,,Unknown
511481000,OSLO,Tanker,T8A2565,,,,,Unknown
512000058,TANGAROA,99,ZMFR,,,,,New Zealand
512000321,TARAKENA,Pilot Vessel,ZMT2685,,,,,New Zealand
512006292,WLG PILOT TE HAA,Pilot Vessel,ZMU4882,,,,,New Zealand
512007465,WILLIAM FRASER,Cargo,ZMG3728,,,,,New Zealand
512219000,AWANUIA,Tanker,ZMA2137,,,,,New Zealand
518100276,CAPE RACE,Other,E5U3212,,,,,Unknown
518100744,SERENO,Pleasure Craft,E5U3655,,,,,Unknown
518998320,GAUDEAMUS,Pleasure Craft,E5U4300,,,,,Unknown
518999359,ARTHGALLO,Tanker,E5U534,,,,,Unknown
518999422,BELLA DONNA,,E5U5403,,,,,Unknown
518999658,THE BEAST,Pleasure Craft,E5U5638,,,,,Unknown
525012349,MV ARIMBI BARUNA,Cargo,PLMJ,,,,,Indonesia
525018275,SK CAPELLA,Other,JZVO,,,,,Indonesia
525019611,SEMBILAN ENAM 96,Pleasure Craft,YCQZ,,,,,Indonesia
525020294,AHT TEGAP JAYA,Other,PLLH,,,,,Indonesia
525110231,GAS QUILA,Tanker,YDHZ4,,,,,Indonesia
525114043,SMR-594,Military,YCIK2,,,,,Indonesia
533132112,STRAITS GEMILANG,Tanker,9M2395,,,,,Malaysia
533132152,NAUTICA KLUANG 2,Tanker,9M2511,,,,,Malaysia
533132161,MTT SANDAKAN,Cargo,9M2523,,,,,Malaysia
538002774,UZAVA,Tanker,V7LN7,,,,,Marshall Islands
538003015,GENCO PYRENEES,Cargo,V7KB5,,,,,Marshall Islands
538003488,LADY ELA,Tanker,V7RE3,,,,,Marshall Islands
538003946,IBIS BULKER,Cargo,V7UG6,,,,,Marshall Islands
538004151,STAR CLAUDINE,Cargo,V7VL5,,,,,Marshall Islands
538004385,FEDERAL SKYE,Cargo,V7WS9,,,,,Marshall Islands
538004485,SEA LADY,Cargo,V7XH9,,,,,Marshall Islands
538005197,GO ELECTRA,99,V7ZR6,,,,,Marshall Islands
538005385,STI MADISON,Tanker,V7DH5,,,,,Marshall Islands
538005399,STI BRIXTON,Tanker,V7DL8,,,,,Marshall Islands
538005408,STI POPLAR,Tanker,V7DO8,,,,,Marshall Islands
538005552,ASKHOLMEN,Tanker,V7RU4,,,,,Marshall Islands
538005747,EUPHRATES,Cargo,V7GQ5,,,,,Marshall Islands
538005865,ARDMORE CHEROKEE,Tanker,V7HR9,,,,,Marshall Islands
538006198,ADVANTAGE ATOM,Tanker,V7KZ3,,,,,Marshall Islands
538006249,ECO ROYALTY,Tanker,V7LA9,,,,,Marshall Islands
538006442,RB EDEN,Cargo,V7NF3,,,,,Marshall Islands
538006448,SEAWAYS LIBERTY,Tanker,V7NH5,,,,,Marshall Islands
538006720,DSI ALTAIR,Cargo,V7NM5,,,,,Marshall Islands
538006780,FEDERAL KIVALINA,Cargo,V7RF2,,,,,Marshall Islands
538006869,SA HORIZON,Tanker,V7AV7,,,,,Marshall Islands
538006969,AROSA,Cargo,V7DS6,,,,,Marshall Islands
538007004,FREE STATE,Cargo,V7KW9,,,,,Marshall Islands
538007030,KAVO YERAKI,Cargo,V7UO7,,,,,Marshall Islands
538007098,BAFFIN,79,V7WO8,,,,,Marshall Islands
538007100,TOMINI DYNASTY,79,V7WP2,,,,,Marshall Islands
538007133,FRONT ANTARES,Tanker,V7ES9,,,,,Marshall Islands
538007305,SAMJOHN ARGONAUT,Cargo,V7IJ9,,,,,Marshall Islands
538007324,TOPAZ VOLGA,Cargo,V7JE8,,,,,Marshall Islands
538007362,PACIFIC JULIA,Tanker,V7FP9,,,,,Marshall Islands
538007429,ATLANTIC INFINITY,Tanker,V7NI2,,,,,Marshall Islands
538007482,HYUNDAI FORWARD,Cargo,V7PX2,,,,,Marshall Islands
538007646,SEA JAGUAR,Tanker,V7YV4,,,,,Marshall Islands
538007873,SEACOR YANGTZE,Other,V7UJ9,,,,,Marshall Islands
538007885,PAULA,HSC,V7YC4,,,,,Marshall Islands
538007994,SPRING SNOW,Cargo,V7AZ8,,,,,Marshall Islands
538008045,SAO DIANA,Cargo,V7FA9,,,,,Marshall Islands
538008092,LARGO DESERT,Tanker,V7BP9,,,,,Marshall Islands
538008112,PANORIA,Cargo,V7KM6,,,,,Marshall Islands
538008144,GENCO COLUMBIA,Cargo,V7A2013,,,,,Marshall Islands
538008266,FEDERAL YUKINA,Cargo,V7A2165,,,,,Marshall Islands
538008317,JABAL ALMISHT,Cargo,V7A2231,,,,,Marshall Islands
538008360,ATLANTIC SAMURAI,Cargo,V7A2277,,,,,Marshall Islands
538008361,ELANDRA STAR,Tanker,V7A2278,,,,,Marshall Islands
538008368,ATLANTIC GUARD,Tanker,V7A2284,,,,,Marshall Islands
538008415,DUCHESS OF DORIA,Tanker,V7A2333,,,,,Marshall Islands
538008466,LACTA,Cargo,V7A2389,,,,,Marshall Islands
538008469,FEDERAL MONTREAL,Cargo,V7A2393,,,,,Marshall Islands
538008713,AITOLOS,Tanker,V7A2681,,,,,Marshall Islands
538008924,DEVBULK DENIZ,Cargo,V7A2913,,,,,Marshall Islands
538008963,DRAFTZILLA,Cargo,V7A2954,,,,,Marshall Islands
538008978,AQUARIUS T,Tanker,V7A4148,,,,,Marshall Islands
