MMSI,Vessel Name,IMO Number,Call Sign,Vessel Type,Length,Breadth,Depth,Flag
538009099,YELLOW STARS,IMO9913626,V7A4312,Tanker,183,32,8.5,Marshall Islands
245890000,UAL AFRICA,IMO9529243,PBCC,Cargo,119,16,5.9,Netherlands
249046000,CELEBRITY CONSTELLAT,IMO9192399,9HJB9,Passenger,294,32,8.4,Malta
563073300,MARVEL CRANE,IMO9770438,9V5069,81,297,49,11.1,Singapore
212917000,FOUMA,IMO9395082,C4WT2,Cargo,166,25,7.6,Cyprus
538007660,ADVENTURER,IMO9577898,V7ZF4,Cargo,180,28,5.6,Marshall Islands
215436000,JS INEOS INTREPID,IMO9685449,9HA5110,Tanker,180,26,7.6,Malta
249666000,CELEBRITY ECLIPSE,IMO9404314,9HXC9,69,317,48,8.9,Malta
228408700,LNG ENDEAVOUR,IMO9893606,FMPL,Tanker,293,46,9.8,France
577370000,MIDNIGHT CHIEF,IMO8115722,YJWE6,Cargo,58,12,4.0,Unknown
538011304,MANTA KEREM,IMO9539535,V7A6931,Cargo,178,29,7.5,Marshall Islands
232010199,ROSE PG,IMO9799032,MBOK9,Tanker,105,18,5.0,United Kingdom
241731000,SEA TURTLE,IMO9886718,SVDJ8,Tanker,250,44,8.7,Greece
563194900,WAN HAI A03,IMO9935105,9V7399,Cargo,336,51,14.9,Singapore
538008687,PORT TOKYO,IMO9860520,V7A2657,Cargo,199,32,7.0,Marshall Islands
636018038,NAVIOS CONSTELLATION,IMO9408877,D5NX3,Cargo,350,46,13.9,Unknown
440245000,GLOVIS SUMMIT,IMO9702417,D7BG,Cargo,199,35,9.6,South Korea
477706800,DHT OSPREY,IMO9734111,VRTZ8,Tanker,336,60,11.0,Unknown
235505000,HARTLAND POINT,IMO9248538,ZIQS6,Cargo,192,26,6.0,United Kingdom
235060303,ENERGY CENTAUR,IMO9387281,2AJU3,Tanker,228,32,12.4,United Kingdom
563045300,EAGLE BARCELONA,IMO9795048,9V5377,Tanker,250,44,13.6,Singapore
538003578,OCEAN PRINCESS I,IMO9391517,V7RT9,Tanker,183,32,8.5,Marshall Islands
477434700,BAO RESOURCE,IMO9609823,VRIZ4,Cargo,189,32,6.5,Unknown
636090747,CHEMTRANS SEA,IMO9270490,A8EL8,Tanker,228,32,14.0,Unknown
563148800,XING XI HAI,IMO9767065,9V7747,Cargo,200,32,11.4,Singapore
538004255,SEAWAYS LEYTE,IMO9470272,V7WA7,Tanker,229,32,14.3,Marshall Islands
636022431,ELEEN EVA,IMO9527415,5LIT5,Cargo,190,33,8.9,Unknown
219033000,MAERSK EDINBURGH,IMO9456757,OXLT2,Cargo,366,48,11.3,Denmark
241075000,MAGDA P,IMO9476692,SVBE4,Cargo,189,32,12.8,Greece
538071072,BOLD,IMO1013030,V7AQ8,Pleasure Craft,85,13,2.8,Marshall Islands
563471000,CLEMENS SCHULTE,IMO9665671,9V2333,Cargo,255,37,13.6,Singapore
477929600,ZIM PEARL,IMO9967990,VRVI8,74,272,43,14.4,Unknown
419001015,JAG AJAY,IMO9723849,AWLD,Cargo,229,32,12.8,India
210328000,FULMAR EXPLORER,IMO9418860,5BKQ5,99,80,20,6.0,Cyprus
563052700,CAP JERVIS,IMO9484572,9V6246,74,264,32,12.3,Singapore
247304200,GRANDE TOGO,IMO9465370,IBNN,Cargo,211,32,8.0,Italy
538071476,KISMET,IMO9881627,V7A2834,Pleasure Craft,122,17,4.4,Marshall Islands
538009956,BARUMK GAS,IMO9922225,V7A5389,Tanker,161,26,8.9,Marshall Islands
563189400,SEACON TOKYO,IMO9941958,9V8846,Cargo,200,32,13.6,Singapore
255806059,NORDINDEPENDENCE,IMO9783019,CQIS9,Tanker,236,44,8.2,Portugal
538009503,PYXIS KARTERIA,IMO9596260,V7A4822,Tanker,183,32,11.3,Marshall Islands
563220700,AQUAMARINEPROGRESSII,IMO9947495,9V9001,Tanker,230,37,8.2,Singapore
671226100,RELIANCE II,IMO9221322,5VHS7,79,52,12,2.0,Unknown
228468900,CMA CGM FORT JAMES,IMO9966764,FNAC,79,268,44,14.9,France
636021961,NEW ALLIANCE,IMO9953901,5LGN7,Tanker,243,44,8.5,Unknown
538007666,ASPHALT SYNERGY,IMO9794159,V7ZV9,Tanker,180,30,10.1,Marshall Islands
538008812,ATLANTIC PRINCE,IMO9874662,V7A2789,Tanker,183,32,11.9,Marshall Islands
477142400,BOCHEM BUCEPHALAS,IMO9760550,VRQY6,Tanker,160,25,6.5,Unknown
538006194,DEEPWATER ATLAS,IMO9735268,V7KR2,Tanker,228,43,10.2,Marshall Islands
538006303,SOPHIANA,IMO9738454,V7LM9,Cargo,199,32,13.2,Marshall Islands
538007471,ATLANTIC ASPHALT,IMO9798428,V7PH4,Tanker,160,24,8.4,Marshall Islands
538002961,MOL PROFICIENCY,IMO9403619,V7NH8,73,292,40,11.8,Marshall Islands
210057000,FALMOUTH,IMO9266530,5BMN2,Cargo,134,23,8.3,Cyprus
255793000,MSC ACAPULCO,IMO9401776,CQML,Cargo,259,32,9.6,Portugal
257502000,BELTIDE,IMO9764063,LAJC8,Cargo,190,32,10.5,Norway
538007527,PAN CERES,IMO9582465,V7TI9,Cargo,228,32,14.4,Marshall Islands
431314000,LIBRA LEADER,IMO9174490,7JWQ,Cargo,199,32,10.0,Japan
256394000,DENIZ A,IMO9539949,9HA2855,Tanker,99,15,6.0,Malta
538010497,OMORFI,IMO9494060,V7A6124,Cargo,190,32,10.8,Marshall Islands
244040000,HUMBERGRACHT,IMO9433274,PBUK,Cargo,138,21,7.2,Netherlands
538008255,DELFIN,IMO9749867,V7A2149,Cargo,229,33,9.4,Marshall Islands
538006129,ARDMORE SEALION,IMO9708203,V7JZ3,Tanker,183,32,12.9,Marshall Islands
566351000,MAERSK KATALIN,IMO9431317,9V8528,Tanker,183,27,11.8,Singapore
538004383,FEDERAL SUTTON,IMO9595917,V7WS7,Cargo,191,28,10.5,Marshall Islands
247322900,JOLLY QUARZO,IMO9578983,ICQQ,Cargo,239,38,7.8,Italy
538003221,CAPE FERROL,IMO9359325,V7PF6,Cargo,170,25,7.8,Marshall Islands
477107300,ALQADISIA,IMO9343352,VRDV7,Tanker,243,42,15.6,Unknown
414627000,XIN QI XING,IMO9592056,BOZE8,Cargo,229,32,7.0,China
240849000,NISYROS,IMO9412062,SVAM7,Tanker,173,28,10.4,Greece
440209000,YOUNG HARMONY,IMO9686546,D7LO,Cargo,206,32,13.3,South Korea
636014359,SIFNOS,IMO9456379,A8TH9,Cargo,189,32,12.8,Unknown
414796000,GUANG BO,IMO9965033,BPEP2,Cargo,229,32,7.5,China
636091328,SANTA VIOLA,IMO9295373,A8HO3,Cargo,274,40,14.5,Unknown
538005544,GLORY,IMO9288473,V7EW3,Cargo,225,32,14.0,Marshall Islands
224451000,RIOJA KNUTSEN,IMO9721736,EARG,Tanker,290,46,9.3,Spain
566208000,CEMTEX HONOR,IMO9727091,9V2766,Cargo,228,36,13.9,Singapore
414037000,GUO HAI LIAN 818,IMO9617272,BQXL,Cargo,190,32,12.7,China
538010339,KYOWA EAGLE,IMO9950301,V7A5912,Cargo,143,22,7.1,Marshall Islands
636020433,ZH CHANG XING,IMO9684469,D5ZF6,Cargo,200,32,7.0,Unknown
563015800,MAXWELL,IMO9782027,9V5250,Cargo,229,32,9.0,Singapore
636017506,MSC JADE,IMO9762326,D5LH6,Cargo,399,59,14.2,Unknown
259135000,BELFOREST,IMO9698185,LAQK8,Cargo,200,32,6.5,Norway
538008324,HUEY,IMO9347308,V7A2238,Tanker,184,27,7.0,Marshall Islands
248728000,MARIUS,IMO9802504,9HA4781,Cargo,194,32,10.4,Malta
259545000,SPAR CAPELLA,IMO9490844,LAKA7,Cargo,189,32,12.9,Norway
538008921,GARNET ETERNITY,IMO9875628,V7A2910,Cargo,200,32,7.0,Marshall Islands
563038600,AUSTRALIAN BULKER,IMO9755921,9V3410,Cargo,180,31,6.7,Singapore
636020495,MSC TIANPING,IMO9305489,D5XH4,Cargo,334,41,11.0,Unknown
636013817,KAROLINE N,IMO9386299,A8PQ8,Tanker,227,32,12.8,Unknown
563118800,UNION GLORY,IMO9541631,9V5304,Cargo,190,32,12.4,Singapore
538008106,NEVA,IMO9213753,V7JA2,Cargo,176,29,7.2,Marshall Islands
636019348,MSC AINO,IMO9770751,D5UC2,Cargo,328,48,12.1,Unknown
212288000,BLUE MATI,IMO9584841,5BNX6,Other,52,9,1.5,Cyprus
538004199,EAGLE TEXAS,IMO9518907,V7VS2,Tanker,243,42,9.2,Marshall Islands
636023438,BASIC SKY,IMO9982196,5LNS6,Cargo,229,32,7.7,Unknown
636022162,CL AGATHA CHRISTIE,IMO9943346,5LHL7,Tanker,183,32,11.6,Unknown
229633000,CMA CGM CALLAO,IMO9395068,9HA5541,72,166,25,7.1,Malta
538010516,CELSIUS GIZA,IMO9945447,V7A6158,84,299,46,9.6,Marshall Islands
403542000,RAYAH,IMO9897743,HZJV,Tanker,333,60,14.9,Saudi Arabia
209191000,ONE ENERGY,IMO9592123,5BGT3,Cargo,229,32,14.6,Cyprus
477706200,HONIARA CHIEF,IMO9861902,VRSL9,Cargo,186,35,8.8,Unknown
477669500,HONEY ISLAND,IMO9755464,VRPT5,Cargo,190,32,13.5,Unknown
636021260,INDIANAPOLIS,IMO9925679,5LDB5,Tanker,180,29,7.5,Unknown
220644000,ERRIA SWAN,IMO9347748,OWDI2,Tanker,129,20,7.4,Denmark
